# branch:      feature-nnp-mace
# exe:         /rds/user/crm98/hpc-work/cp2k_binaries/csd3/feature-nnp-mace/cp2k.psmp
# MPI ranks:   76
# OMP threads: 1
# total cores: 76
# steps:       100
# reps:        5 timed (+1 discarded warm-up) per size
# n_molecules,rep,time_per_step_s,walltime_s
64,1,0.030550,3.326
64,2,0.041770,4.498
64,3,0.034190,3.604
64,4,0.037670,3.954
64,5,0.035820,3.897
256,1,0.052600,5.884
256,2,0.043200,4.962
256,3,0.049080,5.742
256,4,0.042240,5.043
256,5,0.049540,5.579
512,1,0.062920,8.791
512,2,0.059490,8.099
512,3,0.058480,8.015
512,4,0.061920,8.335
512,5,0.057930,8.336
1024,1,0.089950,9.155
1024,2,0.091470,9.306
1024,3,0.091500,9.309
1024,4,0.091720,9.358
1024,5,0.097970,9.973
2048,1,0.153690,15.544
2048,2,0.162520,16.618
2048,3,0.154920,15.708
2048,4,0.156300,15.903
2048,5,0.153480,15.623
4096,1,0.292970,29.545
4096,2,0.299880,30.538
4096,3,0.298820,30.391
4096,4,0.300090,30.407
4096,5,0.297210,29.950
